,Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Date
33,United States,Solano,2,0,0,0,03-03-2020
34,United States,Solano,2,0,0,0,03-04-2020
35,United States,Solano,2,0,0,0,03-05-2020
36,United States,Solano,2,0,0,0,03-06-2020
37,United States,Solano,2,0,0,0,03-07-2020
38,United States,Solano,3,0,0,0,03-08-2020
39,United States,Solano,3,0,0,0,03-09-2020
40,United States,Solano,3,0,0,0,03-10-2020
41,United States,Solano,6,0,0,0,03-11-2020
42,United States,Solano,6,0,0,0,03-12-2020
43,United States,Solano,6,0,0,0,03-13-2020
44,United States,Solano,6,0,0,0,03-14-2020
45,United States,Solano,7,0,0,0,03-15-2020
46,United States,Solano,8,0,0,0,03-16-2020
47,United States,Solano,8,0,0,0,03-17-2020
48,United States,Solano,8,0,0,0,03-18-2020
49,United States,Solano,10,0,0,0,03-19-2020
50,United States,Solano,13,0,0,0,03-20-2020
51,United States,Solano,14,0,0,0,03-21-2020
52,United States,Solano,14,0,0,0,03-22-2020
53,United States,Solano,21,0,0,0,03-23-2020
54,United States,Solano,24,0,0,0,03-24-2020
55,United States,Solano,31,0,0,0,03-25-2020
56,United States,Solano,31,0,0,0,03-26-2020
1,United States,Sonoma,1,0,0,0,01-31-2020
2,United States,Sonoma,1,0,0,0,02-01-2020
3,United States,Sonoma,1,0,0,0,02-02-2020
4,United States,Sonoma,1,0,0,0,02-03-2020
5,United States,Sonoma,1,0,0,0,02-04-2020
6,United States,Sonoma,1,0,0,0,02-05-2020
7,United States,Sonoma,1,0,0,0,02-06-2020
8,United States,Sonoma,1,0,0,0,02-07-2020
9,United States,Sonoma,1,0,0,0,02-08-2020
10,United States,Sonoma,1,0,0,0,02-09-2020
11,United States,Sonoma,1,0,0,0,02-10-2020
12,United States,Sonoma,1,0,0,0,02-11-2020
13,United States,Sonoma,1,0,0,0,02-12-2020
14,United States,Sonoma,1,0,0,0,02-13-2020
15,United States,Sonoma,1,0,0,0,02-14-2020
16,United States,Sonoma,1,0,0,0,02-15-2020
17,United States,Sonoma,1,0,0,0,02-16-2020
18,United States,Sonoma,1,0,0,0,02-17-2020
19,United States,Sonoma,1,0,0,0,02-18-2020
20,United States,Sonoma,1,0,0,0,02-19-2020
21,United States,Sonoma,1,0,0,0,02-20-2020
22,United States,Sonoma,1,0,0,0,02-21-2020
23,United States,Sonoma,1,0,0,0,02-22-2020
24,United States,Sonoma,1,0,0,0,02-23-2020
25,United States,Sonoma,1,0,0,0,02-24-2020
26,United States,Sonoma,1,0,0,0,02-25-2020
27,United States,Sonoma,1,0,0,0,02-26-2020
28,United States,Sonoma,1,0,0,0,02-27-2020
29,United States,Sonoma,1,0,0,0,02-28-2020
30,United States,Sonoma,1,0,0,0,02-29-2020
31,United States,Sonoma,1,0,0,0,03-01-2020
32,United States,Sonoma,1,0,0,0,03-02-2020
33,United States,Sonoma,1,0,0,0,03-03-2020
34,United States,Sonoma,2,0,0,0,03-04-2020
35,United States,Sonoma,2,0,0,0,03-05-2020
36,United States,Sonoma,2,0,0,0,03-06-2020
37,United States,Sonoma,2,0,0,0,03-07-2020
38,United States,Sonoma,2,0,0,0,03-08-2020
39,United States,Sonoma,2,0,0,0,03-09-2020
40,United States,Sonoma,2,0,0,0,03-10-2020
41,United States,Sonoma,2,0,0,0,03-11-2020
42,United States,Sonoma,2,0,0,0,03-12-2020
43,United States,Sonoma,3,0,0,0,03-13-2020
